"lang_code","display_name","native_name","short_code","translation_path","flag_path","rtl","enabled","priority"
"en","English","English","EN","res://i18n/en.translation","res://assets/ui/flags/en.png","false","true","1"
"pt","Portuguese (BR)","Português (Brasil)","PT","res://i18n/pt.translation","res://assets/ui/flags/pt.png","false","true","2"
"de","German","Deutsch","DE","res://i18n/de.translation","res://assets/ui/flags/de.png","false","true","3"
"ru","Russian","Русский","RU","res://i18n/ru.translation","res://assets/ui/flags/ru.png","false","true","4"
"fr","French","Français","FR","res://i18n/fr.translation","res://assets/ui/flags/fr.png","false","true","5"
"es","Spanish","Español","ES","res://i18n/es.translation","res://assets/ui/flags/es.png","false","true","6"
"pl","Polish","Polski","PL","res://i18n/pl.translation","res://assets/ui/flags/pl.png","false","true","7"
"it","Italian","Italiano","IT","res://i18n/it.translation","res://assets/ui/flags/it.png","false","true","8"
"zh","Chinese (Simplified)","中文 (简体)","ZH","res://i18n/zh.translation","res://assets/ui/flags/zh.png","false","true","9"
"hi","Hindi","हिन्दी","HI","res://i18n/hi.translation","res://assets/ui/flags/hi.png","false","true","10"
"ko","Korean","한국어","KO","res://i18n/ko.translation","res://assets/ui/flags/ko.png","false","true","11"
"ja","Japanese","日本語","JA","res://i18n/ja.translation","res://assets/ui/flags/ja.png","false","true","12"
